Fecha,IPC_0,IPC_1,IPC_2,CuasidinerosTotal,DepositosSistemaFinanciero,M2,M3,IPC_Y
2008-06-30,68.7287790107581,68.1412861654181,67.5122756662211,106881.7348439,141180.51904055,146255.34372623,160550.85623263,69.0600128434532
2008-07-31,69.0600128434532,68.7287790107581,68.1412861654181,108803.48017733,142803.89890065,148814.97987375,162472.85137533,69.1921237337067
2008-08-31,69.1921237337067,69.0600128434532,68.7287790107581,111496.45304778,145865.49157024,150595.54300743,165193.81436471,69.0600993952778
2008-09-30,69.0600993952778,69.1921237337067,69.0600128434532,113160.87645009,149528.33991137,151887.17491314,169004.38832802,69.2991520447945
2008-10-31,69.2991520447945,69.0600993952778,69.1921237337067,116687.02352983,151361.94123653,156973.55487527,171844.10262647,69.4925067269265
2008-11-30,69.4925067269265,69.2991520447945,69.0600993952778,118847.84726948,156856.95991706,160335.98259538,177609.68618124,69.7998585380227
2008-12-31,69.7998585380227,69.4925067269265,69.2991520447945,119668.63630307,160243.41093512,168764.17421099,184451.62739872,70.2112086483477
2009-01-31,70.2112086483477,69.7998585380227,69.4925067269265,122876.76171165,161725.81217598,166090.51613797,183899.47716389,70.7988934432986
2009-02-28,70.7988934432986,70.2112086483477,69.7998585380227,125940.15953212,163726.41527856,169361.19214779,185432.57848435,71.1521072514473
2009-03-31,71.1521072514473,70.7988934432986,70.2112086483477,125637.07881174,163754.72581408,168225.40643329,185113.64662412,71.3806389682866
2009-04-30,71.3806389682866,71.1521072514473,70.7988934432986,122600.26570152,162597.89398924,164790.30254391,183970.37687169,71.3906873559217
2009-05-31,71.3906873559217,71.3806389682866,71.1521072514473,125387.94670084,164974.20266831,167200.38961572,185825.04137192,71.3506871509893
2009-06-30,71.3506871509893,71.3906873559217,71.3806389682866,126046.10273174,166304.09908616,169666.64648766,187602.70270836,71.3229417072205
2009-07-31,71.3229417072205,71.3506871509893,71.3906873559217,128396.85341819,167658.17200281,171207.70058919,189048.26674432,71.3543921274806
2009-08-31,71.3543921274806,71.3229417072205,71.3506871509893,125727.70624143,167647.81363405,169136.10143526,188367.98485878,71.2762086079335
2009-09-30,71.2762086079335,71.3543921274806,71.3229417072205,125982.13962438,165891.21217432,169117.60367697,187352.98954088,71.1851937803914
2009-10-31,71.1851937803914,71.2762086079335,71.3543921274806,128235.02695704,169209.21738289,171800.53881166,190249.18178766,71.1384502111257
2009-11-30,71.1384502111257,71.1851937803914,71.2762086079335,128638.4796296,173713.8807457,174701.05845385,195321.40468094,71.1971176902255
2009-12-31,71.1971176902255,71.1384502111257,71.1851937803914,125059.63440649,171692.92945684,177815.96464323,197481.90276177,71.6853802646735
2010-01-31,71.6853802646735,71.1971176902255,71.1384502111257,128328.6210262,175046.79796064,176676.62445272,198440.76195611,72.2792528170839
2010-02-28,72.2792528170839,71.6853802646735,71.1971176902255,130353.00627006,175784.71681194,178034.38985206,198416.52625657,72.46095580883
2010-03-31,72.46095580883,72.2792528170839,71.6853802646735,129320.7023689,174369.04678053,177066.36688416,197694.07439387,72.7945760986885
2010-04-30,72.7945760986885,72.46095580883,72.2792528170839,128582.25098499,175276.06408489,176653.76074046,198045.59151284,72.8697575263198
2010-05-31,72.8697575263198,72.7945760986885,72.46095580883,128693.57157062,176005.92429692,176203.86610779,198704.15360554,72.9526057704129
2010-06-30,72.9526057704129,72.8697575263198,72.7945760986885,130933.97521074,177603.9100816,181250.51184076,202394.03251111,72.9218617247213
2010-07-31,72.9218617247213,72.9526057704129,72.8697575263198,131268.27108351,178672.00362012,180669.88418219,202651.39733165,73.0037034548543
2010-08-31,73.0037034548543,72.9218617247213,72.9526057704129,131352.02567292,179617.5044875,181739.11917926,203158.35584852,72.9046120856808
2010-09-30,72.9046120856808,73.0037034548543,72.9218617247213,132767.63734934,180146.57107674,183221.35451173,204310.16911125,72.8403019860168
2010-10-31,72.8403019860168,72.9046120856808,73.0037034548543,133909.87978344,183379.71252538,184930.91879491,207484.93225488,72.9816348335803
2010-11-30,72.9816348335803,72.8403019860168,72.9046120856808,135106.30610754,188810.39657664,188381.26670964,213543.05895646,73.4549365063493
2010-12-31,73.4549365063493,72.9816348335803,72.8403019860168,133787.46531152,190294.39029006,195878.0388135,220063.88519745,74.1222343219501
2011-01-31,74.1222343219501,73.4549365063493,72.9816348335803,135845.25671102,190890.34435818,191808.30858844,218033.11388252,74.5688766367491
2011-02-28,74.5688766367491,74.1222343219501,73.4549365063493,140921.18317353,194107.20212987,197700.88258929,220746.99519462,74.7698834773726
2011-03-31,74.7698834773726,74.5688766367491,74.1222343219501,143546.68876511,196288.38700914,200308.84535129,223211.80006037,74.8589948627723
2011-04-30,74.8589948627723,74.7698834773726,74.5688766367491,141537.80672434,194266.07328499,197358.3083461,220485.06983678,75.0722027186682
2011-05-31,75.0722027186682,74.8589948627723,74.7698834773726,146378.41103304,200242.48168251,201644.67051869,226099.27259592,75.3108644889771
2011-06-30,75.3108644889771,75.0722027186682,74.8589948627723,148949.62555704,202789.31793447,206869.95516016,230617.31730036,75.4155154168832
2011-07-31,75.4155154168832,75.3108644889771,75.0722027186682,148812.02988957,203566.80681694,206122.26626175,230594.39497395,75.392161082215
2011-08-31,75.392161082215,75.4155154168832,75.3108644889771,155513.4870737,210337.31480154,214018.99930653,238001.72348294,75.6249345364577
2011-09-30,75.6249345364577,75.392161082215,75.4155154168832,153865.06144434,210181.42733352,211869.45995588,237485.8374107,75.7684451396076
2011-10-31,75.7684451396076,75.6249345364577,75.392161082215,157104.46724803,214557.55344841,216923.88532361,242328.98786417,75.8738778259293
2011-11-30,75.8738778259293,75.7684451396076,75.6249345364577,162611.7263027,222288.64912662,226098.31665982,252319.12811444,76.1917107837836
2011-12-31,76.1917107837836,75.8738778259293,75.7684451396076,164155.60454643,226515.26671677,232948.26757312,259914.38126763,76.748456093439
2012-01-31,76.748456093439,76.1917107837836,75.8738778259293,167564.05792695,226519.65518609,229432.37651663,256719.93637788,77.2172110034228
2012-02-29,77.2172110034228,76.748456093439,76.1917107837836,174899.77971168,231307.39044233,235801.20759222,261201.34898775,77.3114652423996
2012-03-31,77.3114652423996,77.2172110034228,76.748456093439,175343.23850327,232841.80250059,235589.08662853,261714.758122,77.423080102192
2012-04-30,77.423080102192,77.3114652423996,77.2172110034228,173264.82133982,234127.00279587,233982.36945423,262280.8086766,77.6553831053882
2012-05-31,77.6553831053882,77.423080102192,77.3114652423996,177360.28711054,236191.06650701,237538.88784128,264923.95039169,77.7196701710989
2012-06-30,77.7196701710989,77.6553831053882,77.423080102192,176962.74644731,237861.9807285,238857.72953522,267104.75885351,77.702887493112
2012-07-31,77.702887493112,77.7196701710989,77.6553831053882,176811.45267109,237726.1440269,238624.99536191,266625.47151629,77.7347553165261
2012-08-31,77.7347553165261,77.702887493112,77.7196701710989,183577.34843677,243622.95993819,245024.13718481,272596.66601336,77.9573289174406
2012-09-30,77.9573289174406,77.7347553165261,77.702887493112,185895.82925058,247366.51728996,247124.60527009,276109.99216193,78.0846976053051
2012-10-31,78.0846976053051,77.9573289174406,77.7347553165261,191359.86496421,252311.54773262,254195.06907946,282389.07942741,77.9779450036584
2012-11-30,77.9779450036584,78.0846976053051,77.9573289174406,193771.77473935,257585.28744996,259229.82381786,287988.0860983,78.0472416052164
2012-12-31,78.0472416052164,77.9779450036584,78.0846976053051,198120.23052133,265769.45908683,271354.20878048,300467.98139364,78.2798119418707
2013-01-31,78.2798119418707,78.0472416052164,77.9779450036584,199797.84727305,262461.74794701,266738.12531046,294692.1408006,78.6274822452543
2013-02-28,78.6274822452543,78.2798119418707,78.0472416052164,205141.85524861,269106.16032862,271639.64266798,300704.26712936,78.789250397402
2013-03-31,78.789250397402,78.6274822452543,78.2798119418707,207036.26963227,273572.63351949,274926.44448729,305297.94626302,78.9885380675097
2013-04-30,78.9885380675097,78.789250397402,78.6274822452543,205759.37097133,274135.51529476,273861.50563113,304681.32790484,79.2086889153344
2013-05-31,79.2086889153344,78.9885380675097,78.789250397402,210854.75225514,276596.91797172,278106.262659,307830.64061662,79.3946985583523
2013-06-30,79.3946985583523,79.2086889153344,78.9885380675097,212345.19731224,282975.36869693,284444.25687157,315232.12184803,79.4303334801318
2013-07-31,79.4303334801318,79.3946985583523,79.2086889153344,216516.22355611,284469.67439936,288428.48236995,318067.00954597,79.4965819218674
2013-08-31,79.4965819218674,79.4303334801318,79.3946985583523,219312.8354569,288197.02805717,291738.82380851,320765.10039188,79.729436343946
2013-09-30,79.729436343946,79.4965819218674,79.4303334801318,218640.95737868,286935.54736149,290808.63958491,319499.59479487,79.5224762733878
2013-10-31,79.5224762733878,79.729436343946,79.4965819218674,226475.63298315,293463.48817021,299863.20463697,327578.39985073,79.3505152478978
2013-11-30,79.3505152478978,79.5224762733878,79.729436343946,229605.51083511,301218.05818821,306390.8582622,335823.71172728,79.5596530740423
2013-12-31,79.5596530740423,79.3505152478978,79.5224762733878,227389.99636384,300708.90837716,311178.53697811,340197.35931914,79.9465104140063
2014-01-31,79.9465104140063,79.5596530740423,79.3505152478978,231076.89181168,301870.61015566,310061.94630869,338625.36053274,80.4507857740015
2014-02-28,80.4507857740015,79.9465104140063,79.5596530740423,238574.16385043,311048.28973533,318519.0536621,347393.45513683,80.7679151492817
2014-03-31,80.7679151492817,80.4507857740015,79.9465104140063,237359.14286059,310698.42124543,317992.35614072,346830.79048152,81.1375982340524
2014-04-30,81.1375982340524,80.7679151492817,80.4507857740015,238071.78109313,308929.00678781,318151.96703918,345777.49463355,81.5301100605566
2014-05-31,81.5301100605566,81.1375982340524,80.7679151492817,238162.1952228,310156.19838165,316831.22405931,346239.64196244,81.6060920925653
2014-06-30,81.6060920925653,81.5301100605566,81.1375982340524,239649.64347099,314121.16886732,321532.19414808,351186.59511608,81.7295589683374
2014-07-31,81.7295589683374,81.6060920925653,81.5301100605566,244116.89012549,316320.79886649,325553.78719668,354237.1159386,81.8956072478107
2014-08-31,81.8956072478107,81.7295589683374,81.6060920925653,244964.35211248,318389.12498964,326373.10140606,355450.52270873,82.0068626383317
2014-09-30,82.0068626383317,81.8956072478107,81.7295589683374,240915.64685468,314982.64206579,322607.66902776,351987.8280487,82.1420049364415
2014-10-31,82.1420049364415,82.0068626383317,81.8956072478107,247479.21749357,321599.1240763,329694.58277669,359789.27657765,82.2502673090283
2014-11-30,82.2502673090283,82.1420049364415,82.0068626383317,248121.06939702,327020.97389348,333884.82028842,366322.35592548,82.4696901443284
2014-12-31,82.4696901443284,82.2502673090283,82.1420049364415,245858.63869467,326925.05638798,339464.65170678,372253.45644387,83.0010324934675
2015-01-31,83.0010324934675,82.4696901443284,82.2502673090283,246146.0860596,326746.8056748,334492.22986828,368712.30863192,83.955218895637
2015-02-28,83.955218895637,83.0010324934675,82.4696901443284,257244.13988579,335869.85874441,344001.90286888,377237.69016167,84.4470545248436
2015-03-31,84.4470545248436,83.955218895637,83.0010324934675,256432.3675999,336136.43289973,344505.06957856,377652.74084804,84.9006154016208
2015-04-30,84.9006154016208,84.4470545248436,83.955218895637,256936.89067045,334127.90892892,342839.79682497,376148.68320624,85.1239526129877
2015-05-31,85.1239526129877,84.9006154016208,84.4470545248436,261163.40789065,339254.5446164,346695.62551183,380918.43135289,85.2133117878853
2015-06-30,85.2133117878853,85.1239526129877,84.9006154016208,261675.64904051,343709.84722953,352104.48128617,386869.46276998,85.371164167969
2015-07-31,85.371164167969,85.2133117878853,85.1239526129877,267880.62087285,344916.03902845,357284.96611776,389495.49115418,85.7809619294401
2015-08-31,85.7809619294401,85.371164167969,85.2133117878853,271330.73131327,350914.23734487,362829.00365448,395451.29804789,86.3947818854235
2015-09-30,86.3947818854235,85.7809619294401,85.371164167969,271729.2351753,347776.47628811,362589.26552822,394358.9065694,86.9840867350911
2015-10-31,86.9840867350911,86.3947818854235,85.7809619294401,278989.21653475,355750.98395732,370685.60171158,402353.36408509,87.5086026580652
2015-11-30,87.5086026580652,86.9840867350911,86.3947818854235,278201.0253138,360482.33530643,374864.51980297,408632.46060037,88.0521369484951
2015-12-31,88.0521369484951,87.5086026580652,86.9840867350911,278481.49620002,361607.1794923,381850.81544532,415690.99314391,89.1885442573611
2016-01-31,89.1885442573611,88.0521369484951,87.5086026580652,280450.86016484,360575.46071592,376203.80331813,410959.66786988,90.3298173143659
2016-02-29,90.3298173143659,89.1885442573611,88.0521369484951,289796.15574056,369916.33755343,386633.97933396,419010.14046841,91.1822425027728
2016-03-31,91.1822425027728,90.3298173143659,89.1885442573611,293361.48501624,372261.72896908,389517.36517662,421710.36548304,91.6345958419973
2016-04-30,91.6345958419973,91.1822425027728,90.3298173143659,295604.39683109,374003.00773177,389192.45851765,421969.06973527,92.1017404692447
2016-05-31,92.1017404692447,91.6345958419973,91.1822425027728,297405.07625113,374259.07705808,388485.95095342,421825.50381675,92.5435247138894
2016-06-30,92.5435247138894,92.1017404692447,91.6345958419973,301652.3196465,376958.92783389,393806.49384109,426678.98867651,93.0247312206378
2016-07-31,93.0247312206378,92.5435247138894,92.1017404692447,303001.0677785,381026.57479898,395866.98632752,430000.54516133,92.7271311477779
2016-08-31,92.7271311477779,93.0247312206378,92.5435247138894,305753.46870136,383013.9410434,398609.38162496,431979.43322728,92.6781435130601
2016-09-30,92.6781435130601,92.7271311477779,93.0247312206378,304965.22723255,381021.31213231,394557.71768779,428750.46105547,92.6226281955719
2016-10-31,92.6226281955719,92.6781435130601,92.7271311477779,304452.93062348,382755.99927219,397059.48629914,430857.3305987,92.72630611345
2016-11-30,92.72630611345,92.6226281955719,92.6781435130601,311293.47475987,389793.27492414,406626.57655608,441322.65324923,93.1128528440435
2016-12-31,93.1128528440435,92.72630611345,92.6226281955719,306199.0109151,389713.53744925,408241.84379569,445140.07830921,94.0664354774366
2017-01-31,94.0664354774366,93.1128528440435,92.72630611345,309131.5381848,391257.76489066,404201.32644164,441885.5429533,95.0124971760723
2017-02-28,95.0124971760723,94.0664354774366,93.1128528440435,313561.83771923,397081.13643055,410070.2295488,445932.11248319,95.4550938910703
2017-03-31,95.4550938910703,95.0124971760723,94.0664354774366,315468.46396871,396941.98288474,408947.36607392,445723.51998769,95.9072873886188
2017-04-30,95.9072873886188,95.4550938910703,95.0124971760723,319214.68669969,402278.27686666,410771.05567344,450217.73738543,96.123383562661
2017-05-31,96.123383562661,95.9072873886188,95.4550938910703,319530.17940411,397017.1709297,410754.57997683,446001.70674544,96.2335800893279
2017-06-30,96.2335800893279,96.123383562661,95.9072873886188,322020.20817065,403301.55385982,415075.59971906,452546.81825436,96.1843551350912
2017-07-31,96.1843551350912,96.2335800893279,96.123383562661,323689.54015123,406136.95754847,418156.3357824,455912.03462553,96.3190674660724
2017-08-31,96.3190674660724,96.1843551350912,96.2335800893279,323071.33496162,402488.33358439,416699.18341735,453111.74461943,96.3578601334521
2017-09-30,96.3578601334521,96.3190674660724,96.1843551350912,321524.17954834,402203.73472089,414830.79164299,452180.29280736,96.3739706388012
2017-10-31,96.3739706388012,96.3578601334521,96.3190674660724,322798.07166016,405336.66256816,417643.26508996,455392.82732507,96.5482518115891
2017-11-30,96.5482518115891,96.3739706388012,96.3578601334521,330329.60526308,413130.09396219,428394.58643653,466984.12420124,96.9198851044073
2017-12-31,96.9198851044073,96.5482518115891,96.3739706388012,328584.23205154,418158.48605064,437122.97461385,477656.44609139,97.5276345666936
2018-01-31,97.5276345666936,96.9198851044073,96.5482518115891,328736.6747384,411626.14091794,428365.3218915,466995.99144701,98.2164314367227
2018-02-28,98.2164314367227,97.5276345666936,96.9198851044073,333580.02728198,417334.7784634,434322.71962531,472043.70971901,98.4522502587935
2018-03-31,98.4522502587935,98.2164314367227,97.5276345666936,335775.81464849,420323.4818587,435891.21000559,474374.41913723,98.9068958253724
2018-04-30,98.9068958253724,98.4522502587935,98.2164314367227,335268.8100845,419760.64488141,433478.14533773,471682.2813035,99.1577914168873
2018-05-31,99.1577914168873,98.9068958253724,98.4522502587935,335338.46247982,417568.71264828,432300.09589852,470495.9843459,99.3111507800769
